inputs,labels
"The victim, who is in his 40s, sustained head injuries in the attack outside a licensed premises in Flax Street at about 05:25 BST. He was taken to hospital and a police spokesman said he is said to be in a critical but stable condition. Det Insp Heather Whoriskey appealed to anyone who was in the area at the time to come forward with information.",A man is critically ill after he was attacked by a number of people in an overnight assault in north Belfast.
"The University of East Anglia undergraduate had followed a link to the page from the course materials for a politics module. It has since removed the link, but said legitimate academic study was key to countering extremist causes. Police confirmed they spoke to the third-year, but took no further action. Officers were satisfied this was not a deliberate act and words of advice were given, a spokesman added. The Clash of Fundamentalisms course, which examines the clash between competing ideologies of neoliberalism and Islamism, is available to a maximum of 18 students in the autumn semester. UEA's student newspaper Concrete quoted a shocked student on the course, who said: People need to be allowed to learn about this stuff in order to know they disagree with it. In September, a postgraduate student in counter-terrorism received an apology from Staffordshire University after concerns were raised when he was seen reading a book called Terrorism Studies.","A student has been questioned by police after accessing an ""extremist"" website found on his course's reading list, it has emerged."
why use the word copy in do you copy that?,"The term ""copy that"" in communication language, particularly in military, amateur, and CB radio, likely originated from the necessity of writing down messages to show them to a superior officer.  
This acknowledgement of received information has evolved from its original context of transcription to a general affirmation of understanding in radio communication.  
In the context of amateur radio, ""copying traffic"" refers to the hobby activity of receiving and understanding messages transmitted over the radio."
"The incident happened at about 23:00 on Wednesday. The 21-year-old victim was walking along the road from the top of Baker Street when an unknown man shouted racially-aggravated abuse at him. The suspect is white, in his late teens or early 20s, between 5ft 7in and 6ft tall, with red or blond short hair. He is of a stocky build and was wearing a red or orange hoodie. Officers are urging anyone who can assist them to come forward. Insp Mike Bennett said: For this young man to be subject to such unprovoked abuse as he went about his daily business is shocking. This behaviour is absolutely unacceptable in our community and I'd urge anyone who witnessed this incident, or has information which can help with our inquiries, to come forward.","Police are appealing for witnesses after a young man suffered ""shocking"" racial abuse while walking on Hawick's High Street."
"It means , to understand an war development , you should understand the ideas and cultural moviments that resulted in a particular period , and helped for the occuring of that war , for exemple . ","It means , to understand war development , you should understand the ideas and cultural movements that resulted in a particular period , and helped for the occurring of that war , for example . "
"what does h/f, m/f and m/w abbreviation in job titles mean?","In job postings, using ""M/F"" denotes Male/Female, and it serves as an inclusive call for applicants of all genders.  
In Germany, ""M/W"" would translate to Männlich/Weiblich, which means Male/Female in English.  
Similarly, in France, ""H/F"" stands for Homme/Femme, again signifying Male/Female."
"Am Ende tanzte Omar al-Baschir auf der Bühne - so, als gebe etwas zu feiern. Seit Wochen demonstrieren Zehntausende im Sudan gegen den Diktator, der seit 1989 an der Macht ist. An einem Tag ziehen sie auf die Straßen und rufen am nächsten dazu auf, nicht zur Arbeit zu erscheinen, einfach zu Hause zu bleiben. Mal sind die Straßen voll, mal wie leer gefegt. Jeden Tag geht das so, in vielen Orten des Landes wird gegen den Langzeitherrscher protestiert. Mehr als 40 Menschen sollen dabei nach Angaben von Menschrechtlern bereits vom Regime getötet worden sein, mehr als 800 wurden nach Angaben der Regierung inhaftiert.","Der sudanesische Diktator Omar al-Baschir findet kein Mittel, der Massenproteste Herr zu werden. Seit Wochen gehen Tausende Menschen auf die Straße gegen ihn."
"The 20-year-old France international was fined and suspended until Monday for missing Thursday's training, but the ban has been extended indefinitely. Dortmund met with Barcelona's representatives but the Spanish club did not meet their valuation. The German club say that Dembele moving to Barca is not currently likely. Dortmund director of football Michael Zorc said: Our focus now is on preparation for the Bundesliga opening match in Wolfsburg [on 19 August]. Dembele, of course, has the opportunity to complete an individual training session outside the group. Dortmund signed Dembele on a five-year deal from Rennes in May 2016.","Borussia Dortmund have suspended forward Ousmane Dembele ""until further notice"", three days after the club rejected a bid from Barcelona."
"Poppy Scotland tins were reported stolen with the first alleged incident in Portobello on 1 November and a further two a week later. Two other reported incidents took place in Musselburgh on 5 and 6 November. The men, aged 27 and 35, are due to appear at Edinburgh Sheriff Court at a later date.",Two men have been charged in connection with the alleged theft of charity collection boxes from separate locations in the east of Scotland.
"It happened in the car park at Morrisons supermarket in King Street in the city at about 13:10 on Sunday. Dale Davidson, 30, of Peterhead, was charged with assault to injury and robbery at Aberdeen Sheriff Court. He made no plea and was remanded in custody.",A man has appeared in court after a 72-year-old woman was robbed in Aberdeen.
"The Guardian reported that the victim had been held up at gunpoint while enjoying a night on the town in the early hours of Tuesday morning. A spokesman for the British Olympic team confirmed an incident of theft, adding: All members of our delegation, including the individual concerned, are accounted for, and are safe and well. GB took 366 athletes to Rio. They have since been reminded of security protocols including not to wear official GB kit outside of the Olympic Village and not to take local taxis, according to the Guardian. It said a letter from GB officials stopped short of issuing a curfew on athletes, but warned them not to carry any valuables and to inform team management of any plans to stay in Rio overnight. United States swimmers Ryan Lochte, James Feigen, Gunnar Bentz and Jack Conger have claimed they were robbed in a taxi at gunpoint in Rio on Sunday but police have queried their accounts.",A Team GB athlete has been robbed while returning to their accommodation at the Olympic Games in Rio.
"a skill that you have, but has little to no benefit for you","The terms ""party trick"" and ""schtick"" describe unique talents or routines that can indicate a person's speciality and are generally performed to entertain others.  
Descriptors like ""quirk,"" ""gimmick,"" or ""knack"" suggest peculiar or distinctive traits, sometimes considered to have no real practical value, but nonetheless can be a source of amusement.  
Such skills or acts could also be humorously considered ""useless talents,"" although this might not fully capture the possible appreciation of these idiosyncrasies.  
Additionally, words like ""routine"" and ""specialty"" encompass the concept of a characteristic act or performance that a person might be known for."
"The midfielder, 20, agreed to a five-year deal with the French champions. He scored 13 league goals for Anderlecht last season to help them win the Belgian title. Monaco is a club with an ambitious project, recognised on the European stage, and which relies on young players, Tielemans said. I am very happy to be here. I will now do everything possible to progress here and repay the confidence the club have shown in me. Find all the latest football transfers on our dedicated page.",Monaco have signed Belgium's young player of the year Youri Tielemans from Anderlecht for a reported 25m euros (£21.63m).
Koy Bentley was fatally wounded on the fifth floor of a block of flats in Watford on Monday afternoon. Hertfordshire police initially said the death was suspicious. No arrests have yet been made. Det Insp Pushpa Guild said: Extensive inquiries are continuing at this time to establish the exact circumstances surrounding Koy's death. An appeal for information has been launched.,"The death of a 15-year-old boy found stabbed in the chest is being treated as murder, police have confirmed."
"Rutger Bregmans Buch Utopien für Realisten wurde in zwanzig Sprachen übersetzt, aber dennoch hat sein Werk weniger Aufmerksamkeit auf sich gezogen als der Autor selbst: Im Januar sollte er beim Weltwirtschaftsforum in Davos seine Thesen zum bedingungslosen Grundeinkommen vorstellen. Niemand hatte damit gerechnet, dass er sich an das Publikum wenden würde mit der Feststellung, alle Diskussionen über sinnvolle Spenden seien Nonsens, sie sollten besser über ein Ende der Steuervermeidung nachdenken. Der Auftritt wurde zu einer Sensation in den sozialen Medien. Schon sein erster Essay über das bedingungslose Grundeinkommen hatte eingeschlagen - Bregman, geboren 1988 im niederländischen Westerschouwen, studierte in Utrecht und Los Angeles und hatte den Aufsatz in der niederländischen Online-Zeitung De Correspondent veröffentlicht. Dort wurde er mehr als eine Million Mal angeklickt. Eine deutsche Taschenbuchausgabe von Utopien für Realisten erscheint im Juni.",Der niederländische Historiker Rutger Bregman fordert ein bedingungsloses Grundeinkommen und höhere Steuern. Damit hat er in Davos die Reichen geschockt und Furore gemacht. Aber er kann es gut begründen.
"Scottish actor Capaldi is appearing in his final series as the Doctor. He has said whoever replaces him - whether a man or woman - will be wonderful. Inverness-born Gillan, who played Amy Pond alongside Matt Smith's Doctor, said she would respect whatever decision was made on the role. A man has been chosen as Capaldi's successor, according to newspaper reports. Speaking at the Los Angeles premiere of her latest film, Guardians Of The Galaxy Vol 2, Gillan said: It's OK, maybe next time. I trust the BBC and their choices and they haven't failed us yet with the Doctor. But it would be cool to see a woman in the role one day because a woman could absolutely play that role. The BBC said no casting decisions have been made. In Guardians of the Galaxy Vol 2, Gillan plays blue-skinned space pirate Nebula.","Former Doctor Who companion Karen Gillan has said an actress succeeding Peter Capaldi in the lead role of the long-running TV series ""would be cool""."
"The double reception was first proposed by the SDLP at the end of last year, to celebrate both teams reaching the finals of the Euro 2016 competition. Unionists objected, saying the council had already held a civic reception for the Northern Ireland team in November. Unionist amendments to expand the invite to other UK teams were defeated. An amendment put forward by Ulster Unionist councillor Jim Rodgers to invite all four teams from England, Wales, Northern Ireland the Republic of Ireland was defeated by 33 votes to 20. Unionist councillors also proposed sending letters of congratulation to all teams from the British Isles who qualified for the Euro 2016 finals, but this amendment was also voted down.",Belfast City Council has voted to invite both the Northern Ireland and Republic of Ireland football teams to a civic reception at Belfast City Hall.
"28 January 2015 Last updated at 20:47 GMT The figure of Boba Fett, a minor character that has become a cult figure, fetched the sum at Vectis Toy Auctioneers in Thornaby, Stockton. Craig Stevens, from Croydon, is a former chairman of the UK Star Wars Fan Club and was selling his memorabilia to help him buy a house.","A Star Wars fan who bought a toy 25 years ago for £50 has sold it at auction in Teesside for £18,000."
"The latest fighting is reported to be in Boni forest, which straddles the border with Somalia. Three police officers are confirmed dead and one seriously injured, according to a statement released by the Kenyan police. Al-Shabab has claimed responsibility. The Daily Nation newspaper reports that some 200 attackers were involved in the fighting. It quotes a local official as saying that an unknown number of villagers are also missing. A local communication mast has been destroyed, making it hard to get accurate information from the area. Al-Shabab has attacked Kenya several times in recent years.",Kenyan security forces have been battling suspected al-Shabab militants for more than 10 hours after they staged a dawn attack on a police post near the coastal town of Lamu.
are either or is either?,"""Either"" technically pairs with a singular verb, supporting constructions: Is either one of you free?  
However, there is also the argument that ""either"" can align with either singular or plural verb forms based on context, like in the phrases ""[Either] is fine,"" implying singular agreement, versus ""[Either of them] are fine,"" which leans towards plural agreement."
"The attack took place near the city's 14th Century Grand Mosque, a symbol of the city, reports said. The governor of Bursa said the attacker was a suspected female suicide bomber. Turkey has been hit by a wave of suicide bombings blamed on both Islamist and Kurdish militants. Earlier reports said one person had been killed in the blast. However, Reuters news agency later quoted Turkey's health minister as saying 13 people had been wounded, none seriously. No-one has yet claimed responsibility for the bombing. On Tuesday the US warned of credible indications of terrorist threats at tourist areas in the country. How dangerous is Turkey's unrest? Tears and destruction amid PKK crackdown Turkey in midst of hideous vortex","A suicide bomber has struck in the western Turkish city of Bursa, injuring 13 people, officials say."
"Für Selfies braucht man derzeit kälteresistente Finger - oder einen dieser Handschuhe mit Touchscreen-Funktion. In der Liftschlange schnell ein Foto machen? Beim Winterspaziergang einen Anruf annehmen oder an der roten Fahrradampel den Song wechseln? Das geht auch ohne kalte Finger. Für den Griff zum Telefon bei eisigen Temperaturen haben fast alle Hersteller von Outdoor-Kleidung in den vergangenen Jahren ein neues Produkt in ihr Sortiment aufgenommen: den Smartphone-Handschuh. Die meisten zeitgenössischen Mobiltelefone verfügen über einen sogenannten kapazitiven Touchscreen. Die SZ-Tests im Überblick Diesen und alle weiteren SZ-Produkttests finden Sie hier. Das bedeutet, dass ein elektrisches Feld die Bewegungen der Fingerkuppe registriert - was aber nur mit (Strom leitender) nackter Haut funktioniert. Die Touch-Handschuhe verfügen über elektrisch leitfähiges Material in den Fingerkuppen. Sie sind außerdem eher dünn, damit man sie auch als Innenhandschuhe tragen kann.",Für Selfies braucht man derzeit kälteresistente Finger - oder einen dieser Handschuhe mit Touchscreen-Funktion.
"The Yemeni troops, along with a force of local tribesman, were backed by the United Arab Emirates and US forces. The US views Al-Qaeda in the Arabian Peninsula (AQAP) as the most dangerous wing of the terror group. AQAP has taken advantage of the chaos of the Yemeni civil war to expand in the oil and gas rich south. The aim of the mission was to degrade AQAP's abilities, Pentagon spokesman Navy Captain Jeff Davis said. But local people said the militants did not put up a fight, and simply melted away into the mountains. As a result, the province's main cities are said to be under government control for the first time in years.",Forces backing Yemen's government have reportedly driven al-Qaeda fighters out of the main cities of the southern province of Shabwa.
what is the difference between education system and educational system?,"The term ""educational system"" can broadly encompass any system that contributes to education, such as a software program designed for children's learning, whereas ""education system"" pertains explicitly to a structured assembly of educational institutions like schools and universities.  
In essence, while ""educational system"" might denote a general category, an ""education system"" refers to an actual system within that category."
"Such unwritten law is very furious , but our world is the furious . ","Such unwritten law is furious , but our world is furious . "
"Nowadays , we need a person who are capable of all sorts of works . ","Nowadays , we need a person who is capable of all sorts of works . "
Learn ,Learn . 
"Police Scotland said they had searched four properties and had seized drugs worth about Â£65,000 and a four-figure sum of cash. An air weapon was also recovered during the operation. The drugs seized are believed to be cocaine. Three men, aged 65, 38 and 18, and two women, aged 68 and 39, were arrested for alleged drugs offences. They are expected to appear at Paisley Sheriff Court on Monday. A 64 year-old woman and a 66 year-old man will also be subject of a report to the procurator fiscal in connection with the air weapon. Officers said they had searched homes in Cameron Avenue in Bishopton, Ryat Linn and Sconser in Erskine, and Merlinford Crescent in Renfrew at about 15:30 on Friday.",Five people have been arrested after a series of drugs raids at homes across Renfrewshire.
"is there a term which covers atm cards, credit cards, and debit cards?","Various terms are used to describe methods of electronic payment, such as ""credit or debit card,"" which provides clarity and inclusivity of the common payment types.  
Some people prefer using the term ""plastic"" to indicate that the payment method is not cash or check, encompassing credit, debit, or gift cards.  
In more formal or industry settings, ""Payment Card"" is a term recognized, particularly in relation to security standards like being PCI compliant.  
Meanwhile, the term ""plastic cards"", ""plastic money"", or ""plastic"" is another colloquial term for these electronic payment methods.  
These methods are also categorized as ""bank cards"" since they are typically issued by banks.  
In the UK, the simple term ""card"" is often sufficient when referring to electronic payment methods.  
In professional finance and banking settings, ""Finance Card"" is a term that you might encounter.  
""Electronic Cash Cards"" also describes payment methods such as those involving cards with magnetic stripes.  
Lastly, in the UK, people may colloquially refer to these electronic methods simply as ""plastic"" when asking if such payment forms are accepted."
"Cristian Montano was a constant threat, testing Magpies goalkeeper Scott Loach with an early shot, before bursting into the box to score before half-time. Notts had gone close through Wes Atkinson and Izale McLeod, but Lee Brown got Rovers' second after the break when he fired in from 18 yards. McLeod missed with a header as the hosts made a late fight-back. The defeat comes days after chief executive Julian Winter left the club for Huddersfield, while angry home fans raised a banner in the Kop that was removed by stewards.",Bristol Rovers kept up their League Two promotion bid by consigning Notts County to a fifth game without victory.
difference between in contrast to and in contrast with,"In looking at the difference between ""in contrast to"" and ""in contrast with"", the most significant difference noted is the frequency of use, showing ""in contrast to"" is used considerably more than ""in contrast with"", with the phrase ""in contrast with"" highlighted as being more commonly used in UK English compared to other variants. 
When deciding between ""to"" and ""with"" after ""contrast,"" use ""to"" if contrast is a noun and ""with"" when contrast is a verb.  
Despite this, it is also stated that ""contrast"" can be a noun with either ""to"" or ""with,"" but in this case, there is a slight preference for ""to"" among some experts."
"Seine Mode, ohne ihn - wie würde das aussehen? Zwei Tage nach dem Tod von Karl Lagerfeld fand in Mailand die Show von Fendi statt, der Marke, für die der Designer 54 Jahre lang gearbeitet hatte, länger noch als für Chanel. Kurz war spekuliert worden, ob die Präsentation vielleicht abgesagt würde, aber daran ist in diesem Milliardengeschäft nicht ernsthaft zu denken. Und Lagerfeld, der notorisch arbeitete, hätte vermutlich als Letzter gewollt, dass seinen letzten Entwürfen der große Auftritt verwehrt bleibt. Aber das ganz große Drama, das bei den Italienern ja auch gern mal aufgefahren wird, blieb aus. Eine Videopräsentation zeigte die Verbindung des verstorbenen Designers mit der Marke Fendi. Über dem Laufsteg stand in seiner Schrift Love, Karl geschrieben, auf den Plätzen lag ein kleines Kärtchen, darauf ein schwarzes F mit Herzchen und dem Todesdatum auf der Rückseite. Ein subtiler, stilvoller Abschied.",Zwei Tage nach dem Tod von Karl Lagerfeld erhalten seine letzten Entwürfe bei der Show der Marke Fendi in Mailand ihren großen Auftritt - und das ohne großes Pathos.
"The 27-year-old, who came through City's academy, left for Reading in 2006 after making 15 appearances. Golbourne, who joined Wolves in August 2013 and played 92 times for Wanderers, would have been out of contract at Molineux at the end of the season. Scott is a Bristol lad and that's important to us, said interim manager John Pemberton. He has been here before, he's athletic and someone we need for this football club. The left-back joins new loan signings Lee Tomlin, Alex Pearce and Ben Gladwin at Ashton Gate. Colchester United manager Kevin Keen has also confirmed to BBC Essex that the League One club have rejected another offer for midfielder Alex Gilbey from City. Last week Keen said the U's received a joke bid for the 21-year-old. Meanwhile, right-back Luke Ayling is expected to be sidelined for up to six weeks after undergoing surgery on his cartilage. Find all the latest football transfers on our dedicated page.",Bristol City have re-signed former defender Scott Golbourne from Wolves on a two-and-a-half year deal.
"The 27-year-old signed a new contract with the Championship club in February, keeping him at the Madejski Stadium until 2018. But the new deal includes a release clause of £1.2m for Gunter, who helped Wales reach the Euro 2016 semi-finals. Hull's interest is believed to be on hold as they search for a new manager following the departure of Steve Bruce. Injuries have left the club with only 13 fit players, and they said they would look to strengthen the squad in the coming weeks. Right-back Moses Odubajo is one of several important players currently injured, and Gunter is regarded as a potential replacement. The former Cardiff City and Tottenham defender played in all six of Wales' games at Euro 2016 as they reached their first semi-final at a major tournament. The progress of Chris Coleman's side in France meant Gunter was forced to miss his brother Marc's wedding.",Newly promoted Premier League side Hull City are interested in signing Reading and Wales defender Chris Gunter.
how do you like them apples?,"The phrase ""How do you like them apples?"" can be used to express surprise at a sudden turn of fortune.  
However, despite the common belief that this phrase appeared in the film The Wizard of Oz, it did not but was actually popularized during World War I, the term potentially having gained associative use with mortars and grenades during this time due to a trench mortar named a ""toffee apple"" and the use of ""plum and apple"" jam tins for improvised explosive devices. 


It can also be used as an expression of surprise at a sudden turn of fortune, and first appears in the Wizard of Oz in 1939.  
The phrase was apparently popularized during World War I, and the words ""plum"" and ""apple"" may have been associated with mortars and grenades as a result."
However I still believe that learnng facts are important for student . ,"However , I still believe that learnng facts is important for students . "
"Das, womit Peter Blersch Geld verdient, sorgt für Ärger. Als Deutschland-Chef des weltgrößten Zeitarbeitsunternehmens Adecco kümmert er sich um Personalvermittlung und vor allem darum, Tausende Zeitarbeiter zu verleihen. Gegen Gebühr helfen sie ein paar Monate in einem Betrieb. Kritiker sprechen von Arbeitnehmern zweiter Klasse. Blersch kämpft für das Ansehen seiner Branche - und um Personal. Vom Lkw-Fahrer über Pfleger bis zum Programmierer sind Fachkräfte knapp. Zunehmend bedient Adecco deshalb auch andere Geschäftsfelder, vermittelt beispielsweise Selbständige temporär und bietet Werkvertragslösungen an. Um Mitarbeiter zu gewinnen, muss Blersch sich ihren Wünschen anpassen. Seine Firma ist damit Seismograf für den Arbeitsmarkt.","Peter Blersch, Deutschland-Chef der Zeitarbeitsfirma Adecco, über den schlechten Ruf der Branche, die Risiken und Vorteile von Zeitarbeitern und die schwindende Angst vor Arbeitslosigkeit bei jungen Leuten."
"Light installations have been placed at locations around the city including Piccadilly, Mayfair, King's Cross, Trafalgar Square and Westminster. Lumiere London runs from 18:30 GMT to 22:30 on Saturday and Sunday. The art installations include a life-size 3D elephant, human figures floating in the sky, giant fish, LED stickmen and stars. The festival has been developed by creative producers Artichoke.","London has been illuminated by its first festival of light, featuring 30 artists."
"The 39-year-old is Pakistan's leading run-scorer in Test cricket, having made 9,977 runs in 115 Tests since his international debut in 2000. He has an average of 53.06, with 34 centuries and a highest score of 313. I will be retiring from international cricket after the West Indies series with my head held high, said Younus. I think this is the right time as every sportsman has to take this decision in his career. He previously captained Pakistan in all three formats of the game and led them to their only World Twenty20 title in England in 2009. He also had a spell in county cricket with Yorkshire in 2007. Younus' announcement comes two days after Test skipper Misbah-ul-Haq, 42, announced that he will also retire from internationals after the Windies Test series. The veteran duo were also named among Wisden's five Cricketers of the Year last week.","Pakistan batsman Younus Khan has announced he will retire after their three-match Test series against West Indies, which starts on 22 April."
what is the difference between name and title?,"Some say that ""title"" is perceived as something graphical, which suggests that it has a visual aspect, like being written in bold and a larger font, such as on a gallery picture or a book cover and that ""name"" is deemed broader in context and usage, implying it can replace a title in many instances. 
Others contend that a ""name"" typically identifies something specific, a ""title"" is associated with a role or requirement, even though the terms can overlap, such as with books and songs. 
Titles can sometimes act as names, and this is often true in the context of books, films, or songs, where the title can be used as the name, or a more 'familiar' name might be derived from the title or its content. 
Regarding linguistic roots, ""name"" derives from Germanic origin, whereas ""title"" comes from French and often signals a higher level of respect when used; choosing to use ""title"" over ""name"" suggests a respectful elevation.  
In contrast, using a ""name"" suggests a more practical and direct relationship with the subject."
"Craig Douglas and Dylan Rigby, who are both from Essex, are charged with promoting a lottery and advertising unlawful gambling. Mr Douglas makes gaming videos on YouTube under the pseudonym Nepenthez. He is also charged with inviting children to gamble. The two men appeared at Birmingham Magistrates' Court. The case has been adjourned until 14 October. The Gambling Commission, which brought the prosecution, has been looking into the rise of video game gambling. It is warning parents that children can be drawn into betting with so-called skins - virtual goods such as weapons or clothes that are a feature of many popular games. It has been estimated that the global market in betting on video games is worth as much as Â£4bn.",Two men have appeared in court charged with offences under the Gambling Act in what is believed to be the first prosecution involving betting on video games.
"The 31-year-old, who joined the Reds in 2014, has the option to extend his stay at the West Sussex club by a further year as part of the deal. Harrold scored nine goals in 39 appearances last season. I know what he can bring. He can handle himself physically but his touch and positional play is excellent, Crawley head coach Dermot Drummy said.",Crawley Town striker Matt Harrold has signed a new one-year contract with the League Two club.
"Deutschland hat wegen seiner Exportstärke 2018 erneut den weltweit größten Überschuss in der Leistungsbilanz erzielt. Das zeigt eine Studie des Ifo-Instituts. Mit umgerechnet 294 Milliarden Dollar (260 Milliarden Euro) ist er größer ausgefallen als der von Japan und Russland zusammen, die mit einem Plus von 173 Milliarden beziehungsweise 116 Milliarden Dollar auf Rang zwei und drei folgen. Damit liegt Deutschland zum dritten Mal in Folge vor allen anderen Ländern, sagte Ifo-Experte Christian Grimme. Die Daten bergen allerhand politischen Zündstoff: Deutschland wird wegen seines enormen Überschusses regelmäßig von US-Präsident Donald Trump kritisiert. Er sieht sein Land im Handel benachteiligt und erwägt deshalb die Einführung von Strafzöllen auf deutsche Autos. Grob besagt der Überschuss in der Leistungsbilanz, dass Deutschland viel mehr an Waren produziert und an Dienstleistungen bereitstellt, als es selbst verbraucht.",Er liegt bei fast 300 Milliarden Dollar. Kein anderes Land hat einen höheren Überschuss. Das birgt politischen Zündstoff.
"They take responsible the future of their society and the results , it can the most helpful thing for society . ","They take responsibility of the future of their society and the results , it can the most helpful thing for society . "
Media playback is unsupported on your device 21 December 2014 Last updated at 18:39 GMT Thieves broke into the family's home in Bangor just days after the burial of eight year old Chloe who suffered from a rare condition. Christmas presents were also stolen when the robbers  gained entry to the house in the Sinclair Avenue area on Friday night.  BBC Newsline's Martin Cassidy reports.,A young mother has appealed for the return of a laptop containing the last photographs of her terminally ill child.
"Montagmorgen, kurz vor acht. Hochbetrieb auf der Fähre zur Insel Scharfenberg im Tegeler See im Norden Berlins. Bald fängt die erste Unterrichtsstunde an, und die Fährmänner müssen noch ein paar Ladungen Schüler hinüberschippern. Sanft gleitet das Schiff übers Wasser, keine drei Minuten dauert die Fahrt, wenn nicht gerade der Gegenwind die Fähre bremst. Es sind nur 110 Meter vom Fähranleger auf die Insel - und doch ist man dort in einer anderen Welt. Idyllisch, grün, ruhig. Auf die Insel dürfen nur Schüler, Lehrer und Internatsbewohner, keine neugierigen Spaziergänger, keine Externen.","Der Pädagoge Wilhelm Blume wollte eine Alternative zum sturen Pauksystem - und gründete 1922 ein Gymnasium auf der Berliner Insel Scharfenberg. Hier lernen Kinder zwischen Wäldern, Wasser, Tieren und einem Schulgarten."
"The economy added 242,000 jobs in February, better than the expected 190,000, but earnings growth slowed. The Dow Jones finished up 62.87 points at 17,006.77 while the broader S&P 500 put on 6.59 points closing the day at 1,999.99. The Nasdaq index rose 9.60 points to 4,717.02. Although the key non-farm payrolls grew, average hourly wages fell by 0.1% after a strong 0.5% increase in January. The surprise fall seems to indicate that U.S. inflation remains muted, according to analysts. Policymakers at the US central bank, the Federal Reserve, will be keeping a close eye on inflation to inform their decision as to when to raise interest rates. The wage number might be the silver lining, if you will, against a more hawkish Fed over the next few months, said Mohannad Aama, managing director of Beam Capital Management LLC in New York. Because the Fed has been really focused on inflation.","(Close): Stocks on Wall Street rose to their highest levels since early January on Friday, following better than expected US  jobs figures."
In addition the technology on which these mass transport systems function are based primarily on non-conventional sources of energy . ,"In addition , the technology on which these mass transport systems function , are based primarily on non-conventional sources of energy . "
english word equivalent of 膩 (sick of something due to overindulgence),"There are many English word equivalents for 膩, being sick of something due to overindulgence. 
To begin with, the term ""to surfeit"" refers to indulging to excess in anything, such as an excess of music leading to a loss of appetite as depicted in Shakespeare's ""Twelfth Night"", and can be used interchangeably with ""sated"".  
In colloquial English, expressions such as feeling ""sick"" or ""tired"" of something convey a sense of overindulgence similar to the concept of surfeit but are not restricted only to situations of excess.  
The Latin phrase ""ad nauseam"" implies something done to a sickening or excessive degree and is commonly understood in English.  
In some dialects, the verb ""founder"" denotes consuming until one falls ill, which can apply to situations like a dog overeating.  
""Gorged"" suggests eating to a distasteful excess, while a ""binge"" can refer to overindulgence in activities such as watching television marathons.  
The colloquial term ""fatigue,"" like steak-fatigue, also indicates weariness due to repetition.  
To describe overeating, ""engorged,"" ""stuffed,"" and ""full"" are used, with ""engorged"" having a particularly negative connotation.  
Phrases like ""coffeed out,"" ""burned out,"" or ""fried"" express an excessiveness that may not be strictly related to physical satiety but rather to a state of being overwhelmed or fed up with something.  
And finally, the terms ""blasé"" or ""jaded"" indicate a lack of enthusiasm, which may stem from overexposure or overindulgence."
"A gold medal in the race gives an athlete global recognition. Breaking the world record over the distance ensures sporting immortality. American Donald Lippincott and Czech Marie Mejzlikova were the first, with Jamaica's Usain Bolt and Florence Griffith-Joyner of the United States the current holders of the crown. Before the 2016 Games in Rio, at which Bolt and compatriot Shelly-Ann Fraser-Pryce will defend the 100m titles they won in London four years ago, BBC Sport presents a chronological history of world records in the event, showing each time it has been broken and when. An accessible version can be found here Subscribe to the BBC Sport newsletter to get our pick of news, features and video sent to your inbox.",The 100m is arguably the Olympic Games' most iconic event.
"Iain Stuart, 41, from Laurencekirk, Aberdeenshire, was among those killed in the crash off Norway in April. An investigation into the cause is continuing. An internal Statoil investigation into the company's approach to helicopter safety has said a clearer strategy needs to be developed. The Airbus Super Puma helicopter was flying to Bergen from the Statoil-operated Gullfaks field. Air accident investigators found a fatigue crack was the most likely cause of gearbox failure. The Statoil report suggested the organisation of helicopter safety efforts within the company appeared to be complicated and said more staff should be recruited to its flight safety department. It also recommended Statoil should consider ways of better information sharing between the helicopter operators and manufacturers. Mr Stuart worked for the oil field services company Halliburton.",An oil company's report into an offshore helicopter crash which killed 13 people has warned industry cost-cutting must not compromise safety.
"A man approached her from behind and shoved her to the ground at about 13:30 GMT in Hanwell Cemetery, west London. The suspect made off with her bag which was later recovered by a member of the public, but the purse had been taken. The victim suffered minor injuries in the incident but did not require hospital treatment. Police have released a CCTV image of the suspect, who is described as skinny, about 5ft 9in tall, wearing a black scarf covering his face, a grey hooded top, a black coat and jeans. A Met Police spokesman said: The robbery took place in broad daylight and police are keen to speak to members of the public who saw a man matching this description, walking briskly away from the scene, with his face covered and hood up.","A 73-year-old woman had her handbag snatched as she was cleaning her husband's grave on Christmas Eve, Met Police have said."
19 April 2017 Last updated at 17:30 BST Maureen Leathley was a prima ballerina who toured the country with operatic companies. Ms Leathley said the movement and the music takes her to another world.,A 91-year-old woman from Hull is still dancing - 79 years after she began ballet classes.
Emergency services were called to the incident near Cathedine at 16:13 BST on Sunday. A Welsh Ambulance Service spokeswoman said the person was taken to Swansea's Morriston Hospital with minor injuries. Mid and West Fire Service sent two crews from Brecon and one from Crickhowell to the scene.,A person has been airlifted to hospital after a small aircraft was forced to make an emergency landing in the Brecon Beacons in Powys.
"He was found with significant injuries in Tyrconnell Street, near the city's bogside, shortly before 10:30 BST and taken to hospital, but later died. The police said it was possible his injuries were sustained as the result of a collision with a vehicle. Donnacadh was buried in the City Cemetery in Derry after a requiem mass at St Eugene's Cathedral on Saturday. Police are still investigating the circumstances of his death and a man who was arrested in connection with the incident has been released on bail.","The funeral has taken place of six-year-old Donnacadh McGuire, who died in Londonderry on Tuesday."
